nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200527,93000000,6710000,6710900,6711000,6716800,6740800,3235,4600,100,100,300,6705100,6702000,6701100,6701000,6700000,500,2000,600,100,700
20200527,93003000,6710000,6710700,6710800,6710900,6716800,683,500,1200,3500,100,6702100,6702000,6701100,6701000,6700200,100,2100,600,100,100
20200527,93006000,6710000,6710700,6710800,6710900,6716800,100,583,1600,3400,100,6702100,6702000,6701100,6701000,6700200,100,2100,600,100,100
20200527,93009000,6710000,6710700,6710800,6710900,6716800,100,583,1700,3400,100,6702000,6701100,6701000,6700200,6700000,2000,600,100,100,1200
20200527,93012000,6710000,6710600,6710700,6710800,6710900,100,100,483,1800,1900,6702000,6701100,6701000,6700200,6700000,2000,600,100,100,1200
20200527,93015000,6702000,6710000,6710600,6710700,6710800,300,100,100,483,1600,6701100,6701000,6700200,6700000,6696900,600,100,100,1200,100
20200527,93018000,6702000,6710000,6710600,6710700,6710800,400,100,100,383,1400,6701100,6701000,6700200,6700000,6696900,600,100,100,1200,100
20200527,93021000,6702000,6710000,6710600,6710700,6710800,600,100,100,383,1300,6701100,6701000,6700200,6700000,6696900,600,100,100,1200,100
20200527,93024000,6702000,6710000,6710600,6710700,6710800,600,100,100,383,1300,6701100,6701000,6700200,6700000,6696900,400,100,100,1200,100
20200527,93027000,6701100,6702000,6710000,6710600,6710700,200,600,600,100,383,6696900,6695000,6691100,6690100,6690000,100,100,100,1100,2100
20200527,93030000,6696900,6700300,6700600,6700700,6701100,1000,300,200,100,1300,6691100,6690100,6690000,6688800,6688600,100,1100,2100,100,300
20200527,93033000,6686600,6696900,6700300,6700600,6700700,100,1800,500,200,100,6680900,6680200,6680000,6679000,6678800,100,100,2200,200,100
20200527,93036000,6691100,6696900,6700300,6700600,6700700,100,1800,500,200,100,6681000,6680900,6680200,6680000,6679000,100,100,100,2200,200
20200527,93039000,6691100,6696900,6700300,6700600,6700700,100,1800,500,200,100,6681000,6680900,6680300,6680200,6680000,100,100,100,100,2100
20200527,93042000,6691100,6696900,6700300,6700600,6700700,200,1800,500,200,100,6680000,6679000,6678800,6670700,6670000,1800,200,100,100,200
20200527,93045000,6686900,6691100,6696900,6700300,6701100,400,100,1800,100,1300,6680100,6680000,6679000,6678800,6670700,100,1800,200,100,100
20200527,93048000,6691100,6696900,6700300,6701100,6702000,100,1800,100,1300,200,6683000,6681000,6680100,6680000,6679000,2500,300,100,1800,200
20200527,93051000,6691100,6696900,6700300,6701100,6702000,200,1800,100,1300,100,6681000,6680100,6680000,6679000,6678800,300,100,1900,200,100
20200527,93054000,6681000,6683000,6691100,6696900,6700300,700,100,100,1800,100,6680000,6679000,6678800,6670700,6670000,1900,200,100,100,600
20200527,93057000,6681000,6683000,6691100,6696900,6700300,600,200,100,1800,100,6680000,6679000,6678800,6675800,6670700,1400,200,100,100,100
20200527,93100000,6681000,6683000,6691100,6696600,6696900,600,200,100,100,1800,6680000,6679000,6678800,6675800,6670700,1100,200,100,100,100
20200527,93103000,6680000,6681000,6681700,6683000,6691100,100,400,300,200,100,6679000,6678800,6675800,6670700,6670000,100,100,100,100,700
20200527,93106000,6678800,6679000,6680000,6681000,6681700,1100,900,1400,100,300,6675800,6671000,6670700,6670000,6666600,100,100,100,700,1500
20200527,93109000,6671000,6678800,6679000,6679700,6680000,900,4200,1000,100,1600,6670700,6670100,6670000,6666700,6666600,200,100,800,100,1500
20200527,93112000,6670600,6671000,6678800,6679000,6679700,200,700,4200,1100,100,6666700,6666600,6665000,6663900,6661000,100,1500,100,100,100
20200527,93115000,6671000,6675800,6678800,6679000,6679700,500,200,4200,1500,100,6670000,6666600,6665000,6663900,6661000,100,1100,100,100,100
20200527,93118000,6675800,6678800,6679000,6679700,6680000,200,4200,1500,100,1600,6672000,6671000,6670000,6669700,6666700,3300,100,100,100,100
20200527,93121000,6675800,6678800,6679000,6679700,6680000,800,4200,1500,100,1600,6672000,6671700,6671000,6670000,6666800,1200,100,100,200,500
20200527,93124000,6672000,6675800,6678800,6679000,6679700,1300,800,4200,1400,100,6666800,6666700,6666600,6665000,6663900,2000,100,1100,100,100
20200527,93127000,6670000,6672000,6675800,6678800,6679000,100,1000,1200,4200,1000,6666800,6666700,6666600,6665000,6663900,2300,100,1100,100,100
20200527,93130000,6672000,6675800,6678800,6679000,6679700,600,1100,4200,1000,100,6671000,6670000,6666900,6666800,6666700,1000,100,200,2200,100
20200527,93133000,6675800,6678800,6679000,6679700,6680000,200,3600,1000,100,1500,6673000,6671000,6670700,6670000,6668000,4600,800,100,600,100
20200527,93136000,6678800,6679000,6679700,6680000,6683000,3500,1000,100,1500,100,6673000,6672700,6672000,6671000,6670000,3800,100,100,800,2700
20200527,93139000,6679000,6679700,6680000,6683000,6691100,800,100,1500,100,100,6675000,6674500,6673000,6672000,6671100,200,200,4300,100,100
20200527,93142000,6679000,6696900,6700300,6701000,6701100,800,200,100,100,400,6676500,6675800,6675000,6673200,6673000,100,100,200,100,4400
20200527,93145000,6696900,6700300,6701000,6701100,6702000,200,100,100,200,200,6680300,6679000,6677400,6676600,6676500,400,1500,500,700,300
20200527,93148000,6696900,6699900,6700300,6701000,6701100,200,100,100,100,200,6680300,6679000,6677400,6676600,6676500,100,1200,500,700,300
