nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200525,93000000,6499200,6499400,6499500,6499600,6499700,100,200,100,100,3500,6499000,6483000,6480000,6470700,6453000,400,300,200,100,100
20200525,93003000,6490000,6492800,6498500,6498600,6498700,200,100,100,400,500,6470200,6470100,6470000,6458800,6454000,300,100,100,100,200
20200525,93006000,6483000,6489900,6490000,6491000,6492800,700,100,100,100,100,6470200,6470100,6470000,6461800,6460000,300,200,100,200,200
20200525,93009000,6483000,6489900,6490000,6492800,6497000,200,100,100,100,100,6470200,6470100,6470000,6461800,6460000,200,200,100,200,200
20200525,93012000,6492800,6497000,6498000,6498500,6498600,100,100,200,100,400,6470200,6470100,6470000,6461800,6460000,100,200,100,200,200
20200525,93015000,6483000,6492800,6497000,6498000,6498500,100,100,100,200,100,6470100,6470000,6461800,6460000,6458800,200,100,200,200,100
20200525,93018000,6482900,6489900,6492800,6497000,6498000,100,100,100,100,200,6470100,6470000,6461800,6460000,6458800,100,100,200,200,100
20200525,93021000,6470000,6482900,6489900,6492800,6497000,200,100,100,100,100,6461800,6460000,6458800,6454000,6453800,200,200,100,200,100
20200525,93024000,6470000,6482900,6489900,6492800,6497000,500,100,100,100,100,6461800,6460000,6458800,6454000,6453800,200,200,100,200,100
20200525,93027000,6460000,6461800,6469900,6470000,6482900,600,200,100,500,100,6458800,6454000,6453800,6453100,6453000,100,200,100,300,100
20200525,93030000,6460000,6461800,6469900,6470000,6482900,700,1100,100,500,100,6454000,6453800,6453100,6453000,6451100,200,100,300,100,100
20200525,93033000,6461800,6469900,6470000,6482900,6492800,1100,100,500,100,100,6453100,6451100,6450600,6450100,6450000,300,100,100,100,1100
20200525,93036000,6453500,6461800,6469900,6470000,6482900,1000,1300,100,500,100,6451100,6450600,6450100,6450000,6444400,100,100,100,1100,100
20200525,93039000,6453500,6461800,6469900,6470000,6482900,600,1300,100,500,100,6451100,6450600,6450100,6450000,6444400,100,100,100,1100,100
20200525,93042000,6453100,6453500,6455400,6461800,6469900,800,200,100,1100,100,6450600,6450100,6450000,6444400,6438000,100,100,1100,100,100
20200525,93045000,6450600,6451100,6453100,6453500,6455200,300,6500,900,200,100,6440000,6438000,6433500,6433300,6432800,300,100,200,300,100
20200525,93048000,6440000,6449700,6451100,6452700,6453100,100,100,6100,100,900,6438000,6433500,6433300,6432800,6432600,100,200,300,100,300
20200525,93051000,6440000,6442200,6449600,6449700,6450600,100,100,100,300,100,6432800,6432600,6432000,6431900,6430200,100,300,100,100,100
20200525,93054000,6432800,6439100,6442200,6444500,6449600,200,200,100,100,100,6432600,6432000,6431900,6430200,6430000,200,100,100,100,600
20200525,93057000,6435200,6437600,6439100,6442200,6449600,100,100,200,100,100,6433000,6432800,6432600,6432000,6431900,100,200,100,100,100
20200525,93100000,6432800,6433000,6434300,6435200,6437600,1500,100,100,100,100,6432600,6432000,6431900,6430300,6430200,100,100,100,200,200
20200525,93103000,6420000,6432500,6432600,6432800,6433000,4000,300,300,1100,100,6410200,6410000,6405800,6405500,6401000,100,300,100,100,100
20200525,93106000,6420000,6432000,6432200,6432600,6432800,2000,100,100,1400,1100,6401000,6400500,6400300,6400200,6400100,100,100,100,100,300
20200525,93109000,6420000,6422600,6430500,6432000,6432200,400,100,500,100,100,6401200,6401000,6400500,6400300,6400200,200,100,100,100,100
20200525,93112000,6430500,6432000,6432600,6432800,6433000,500,100,1200,1200,100,6420000,6415600,6401300,6401000,6400500,300,100,100,100,100
20200525,93115000,6430500,6432000,6432600,6432800,6433000,300,100,1200,1200,1100,6401500,6401400,6401300,6401200,6401000,100,100,1000,100,100
20200525,93118000,6430500,6432000,6432600,6432800,6432900,400,100,1200,1200,100,6401500,6401400,6401300,6401200,6401100,400,100,1100,100,100
20200525,93121000,6410000,6430500,6432000,6432600,6432700,100,300,100,1200,100,6401600,6401500,6400000,6398800,6397800,300,200,800,100,500
20200525,93124000,6430000,6430500,6432000,6432600,6432800,100,100,100,100,1200,6402100,6402000,6401800,6401600,6401500,300,500,500,300,200
20200525,93127000,6430000,6430500,6432000,6432600,6432800,100,200,100,100,1200,6410000,6401800,6401200,6400200,6400000,200,1000,200,200,1200
20200525,93130000,6422700,6430000,6430500,6432000,6432300,100,300,200,100,100,6410100,6410000,6403300,6402400,6401800,100,900,100,100,1000
20200525,93133000,6422700,6429900,6430000,6430500,6432000,100,100,300,200,100,6410100,6410000,6408800,6403300,6402700,200,700,100,300,100
20200525,93136000,6422700,6429900,6430000,6430500,6432300,100,100,300,200,100,6411000,6410100,6410000,6408800,6403500,600,200,1100,100,100
20200525,93139000,6429900,6430000,6430500,6432300,6432600,100,300,200,100,100,6422700,6411100,6411000,6410100,6410000,100,100,600,600,1300
20200525,93142000,6429900,6430000,6430500,6432300,6432600,400,300,200,100,100,6422700,6411200,6411000,6410100,6410000,100,200,1700,500,2700
20200525,93145000,6429900,6430000,6430500,6432300,6432600,300,1600,200,100,100,6411000,6410200,6410100,6410000,6409000,1200,100,600,2800,100
20200525,93148000,6422700,6429900,6430000,6430500,6432300,600,200,1800,200,100,6413000,6411600,6411100,6411000,6410200,100,100,1100,1400,100
20200525,93151000,6422700,6429900,6430000,6430500,6432300,400,200,1800,200,100,6412800,6412100,6411600,6411100,6411000,400,900,300,1300,1400
20200525,93154000,6430500,6432300,6432600,6432800,6433000,200,100,100,1200,1100,6430000,6422900,6415000,6412800,6412100,1200,100,300,500,900
20200525,93157000,6432700,6432800,6433000,6435000,6440000,100,1200,1100,100,100,6430700,6430000,6422900,6422700,6415000,200,400,100,100,300
20200525,93200000,6432700,6432800,6433000,6435000,6440000,100,1200,1100,100,100,6430500,6430000,6422900,6422700,6415000,300,300,100,200,300
20200525,93203000,6432800,6433000,6435000,6440000,6450900,900,1100,100,100,100,6430500,6430000,6422900,6422700,6415000,600,200,100,200,300
20200525,93206000,6433000,6435000,6440000,6450900,6451100,100,100,100,100,6100,6432800,6432700,6432000,6430500,6430000,600,200,100,600,200
