nActionDay,nTime,nPrice,nVolume
20200528,93000000,6540000,9700
20200528,93000000,6540000,300
20200528,93000000,6543500,200
20200528,93000000,6543500,100
20200528,93000030,6560200,100
20200528,93000140,6559600,100
20200528,93000150,6559600,100
20200528,93000150,6543600,100
20200528,93000160,6559600,100
20200528,93000160,6543600,100
20200528,93000160,6543600,100
20200528,93000160,6543500,700
20200528,93000200,6559600,100
20200528,93000200,6543500,200
20200528,93000200,6543500,400
20200528,93000230,6543500,900
20200528,93000230,6543500,100
20200528,93000230,6543500,100
20200528,93000230,6543500,200
20200528,93000230,6543100,500
20200528,93000530,6559600,100
20200528,93000530,6559600,100
20200528,93000570,6550000,100
20200528,93000600,6545000,100
20200528,93000600,6544200,100
20200528,93000610,6550000,7
20200528,93000620,6559400,100
20200528,93000620,6560000,100
20200528,93000890,6559600,100
20200528,93000890,6550000,293
20200528,93000890,6550000,6100
20200528,93000890,6545000,100
20200528,93000890,6543800,100
20200528,93000890,6543600,100
20200528,93000890,6543500,100
20200528,93000890,6543500,100
20200528,93000890,6543500,100
20200528,93000890,6543500,200
20200528,93000890,6543100,500
20200528,93000890,6543000,1007
20200528,93000980,6543500,100
20200528,93000990,6543500,100
20200528,93000990,6560000,100
20200528,93000990,6560000,293
20200528,93000990,6566700,7
20200528,93001190,6543000,300
20200528,93001240,6566700,200
20200528,93001390,6566700,100
20200528,93001430,6566700,193
20200528,93001430,6566700,107
20200528,93001660,6543500,100
20200528,93002600,6559600,100
20200528,93002790,6544100,100
20200528,93003190,6543500,100
20200528,93003190,6543500,100
20200528,93003190,6543500,900
20200528,93003190,6543500,200
20200528,93003190,6543500,100
20200528,93003190,6543000,600
20200528,93003760,6559600,100
20200528,93003770,6559600,100
20200528,93003770,6560000,100
20200528,93003970,6543500,100
20200528,93003970,6543000,2900
20200528,93004860,6543600,100
20200528,93005150,6543600,100
20200528,93006100,6543600,200
20200528,93006120,6543600,100
20200528,93007710,6543500,100
20200528,93011460,6556800,100
20200528,93012190,6545500,200
20200528,93012370,6545500,100
20200528,93013870,6545500,100
20200528,93013890,6543500,100
20200528,93013890,6543500,100
20200528,93013890,6543000,800
20200528,93014100,6558800,100
20200528,93014700,6558800,200
20200528,93015940,6545500,100
20200528,93016210,6545500,100
20200528,93016520,6558700,100
20200528,93016520,6558800,200
20200528,93016590,6559500,100
20200528,93017540,6559600,100
20200528,93017540,6559600,100
20200528,93021030,6559500,100
20200528,93021310,6545500,100
20200528,93021310,6543500,100
20200528,93021310,6543000,300
20200528,93022620,6558800,100
20200528,93022620,6558800,100
20200528,93023200,6543000,100
20200528,93024580,6545000,300
20200528,93024610,6545500,100
20200528,93024950,6545500,100
20200528,93024950,6545000,4200
20200528,93025280,6558400,100
20200528,93025910,6551700,100
20200528,93025970,6545000,100
20200528,93026770,6545500,100
20200528,93027740,6545000,400
20200528,93028110,6543000,693
20200528,93028110,6543000,907
20200528,93029320,6543500,100
20200528,93030160,6545500,100
20200528,93030630,6543000,93
20200528,93030700,6541000,100
20200528,93030730,6541000,100
20200528,93032470,6543000,100
20200528,93032480,6540100,100
20200528,93032480,6540100,100
20200528,93032480,6540100,100
20200528,93032480,6540100,100
20200528,93032480,6540100,300
20200528,93032480,6540000,200
20200528,93032480,6540000,200
20200528,93032700,6535000,400
20200528,93032700,6539900,100
20200528,93032700,6540000,1100
20200528,93032700,6543500,100
20200528,93033400,6543500,200
20200528,93033650,6543500,100
20200528,93033870,6540000,300
20200528,93033870,6543500,182
20200528,93033870,6543500,118
20200528,93035030,6537700,200
20200528,93035030,6537700,200
20200528,93035030,6537700,100
20200528,93035030,6537700,100
20200528,93035030,6537700,100
20200528,93035030,6537700,200
20200528,93035030,6537700,200
20200528,93035030,6537700,100
20200528,93035030,6543500,182
20200528,93035030,6543500,200
20200528,93035030,6543500,100
20200528,93035030,6545500,1000
20200528,93035040,6545500,100
20200528,93035110,6545500,100
20200528,93038360,6545500,1200
20200528,93038540,6545500,700
20200528,93038550,6545500,2018
20200528,93038550,6545500,82
20200528,93039690,6555000,100
20200528,93040970,6545500,18
20200528,93040970,6543500,82
20200528,93041250,6546000,100
