nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200528,93000000,6566800,6579600,6580000,6590000,6593400,100,100,100,100,100,6559600,6543600,6543500,6540100,6540000,100,400,2400,100,300
20200528,93003000,6559600,6560000,6570000,6578700,6578800,200,200,100,100,200,6543500,6543000,6541000,6540100,6540000,1400,5393,100,600,300
20200528,93006000,6558800,6559600,6560000,6570000,6578700,100,300,100,100,100,6543500,6543000,6541000,6540100,6540000,100,1893,200,800,300
20200528,93009000,6559600,6560000,6570000,6578700,6578800,800,100,100,100,200,6543500,6543000,6541000,6540100,6540000,200,1893,200,800,300
20200528,93012000,6558800,6559500,6559600,6560000,6570000,500,100,1000,100,100,6545500,6543500,6543000,6541000,6540100,400,200,1893,200,800
20200528,93015000,6545500,6558800,6559600,6560000,6569900,100,200,1100,100,100,6543000,6541000,6540100,6540000,6530000,1093,200,800,300,200
20200528,93018000,6559600,6560000,6569900,6570000,6578700,900,1300,100,100,100,6545500,6543000,6541000,6540100,6540000,100,1093,200,800,500
20200528,93021000,6559600,6560000,6569900,6570000,6578700,900,1300,100,100,100,6545500,6543500,6543000,6541000,6540100,100,100,1093,200,800
20200528,93024000,6545500,6559600,6560000,6569900,6570000,100,1000,1300,100,200,6545000,6543000,6541000,6540100,6540000,5000,693,200,800,500
20200528,93027000,6545500,6558400,6559600,6560000,6569900,100,600,1000,1300,100,6545000,6543000,6541000,6540100,6540000,400,1693,200,800,400
20200528,93030000,6545500,6558400,6559600,6560000,6569900,1100,600,900,1300,100,6543000,6541000,6540100,6540000,6530000,93,200,800,400,200
20200528,93033000,6545500,6558400,6559600,6560000,6569900,1000,600,900,1300,100,6543500,6530000,6526000,6520600,6520000,300,200,100,100,300
20200528,93036000,6555000,6558000,6558400,6559600,6559800,100,200,600,900,100,6545500,6530000,6526000,6520600,6520000,3918,200,100,100,300
20200528,93039000,6555000,6558000,6558400,6559600,6559800,200,200,600,900,100,6545500,6543500,6530000,6526000,6520600,18,300,200,100,100
20200528,93042000,6543500,6545500,6554900,6555000,6557000,282,100,1000,100,2200,6530000,6526000,6520600,6520000,6515600,200,100,100,300,100
20200528,93045000,6543500,6545400,6545500,6554900,6555000,100,200,200,900,100,6526000,6520600,6520000,6515600,6515000,100,100,300,100,200
20200528,93048000,6545400,6545500,6554900,6555000,6557000,100,300,900,100,2200,6530000,6526000,6520600,6520000,6515600,100,100,100,300,100
20200528,93051000,6545400,6545500,6550000,6554900,6555000,100,1200,100,900,100,6530100,6530000,6526000,6520600,6520000,100,100,100,100,300
20200528,93054000,6540000,6545400,6545500,6550000,6554400,100,100,1700,100,100,6530100,6530000,6526000,6520600,6520000,100,100,100,100,300
20200528,93057000,6530000,6540000,6545300,6545400,6545500,100,100,100,100,2000,6526600,6526000,6520600,6520000,6515600,300,100,100,200,100
20200528,93100000,6540000,6545300,6545400,6545500,6550000,100,100,100,2000,100,6530000,6526600,6526000,6520600,6520000,100,200,100,100,200
20200528,93103000,6526600,6530100,6539900,6540000,6545200,300,200,100,600,700,6526000,6520600,6520000,6515600,6515000,100,100,200,100,200
20200528,93106000,6526600,6530000,6530100,6539900,6540000,600,100,100,200,600,6520000,6515600,6515000,6512000,6511100,300,100,200,100,1000
20200528,93109000,6530100,6539900,6540000,6545200,6545400,100,200,600,700,100,6530000,6526600,6520000,6515600,6515000,200,300,300,100,200
20200528,93112000,6530000,6530100,6539700,6539900,6540000,300,100,100,200,600,6526600,6521000,6520000,6515600,6515000,300,100,300,100,200
20200528,93115000,6526600,6530000,6530100,6539700,6539900,200,300,100,100,100,6511100,6510000,6508000,6506200,6506100,700,100,100,100,100
20200528,93118000,6520000,6524600,6526600,6530000,6530100,100,800,400,400,100,6519100,6514000,6511200,6511100,6510000,100,100,100,900,100
20200528,93121000,6526600,6530000,6530100,6539700,6539900,600,400,100,100,100,6511200,6511100,6510000,6508000,6506200,900,900,100,100,100
20200528,93124000,6526000,6526600,6530000,6530100,6539700,100,700,300,100,100,6514000,6511300,6511100,6510000,6508000,1200,200,800,100,100
20200528,93127000,6526000,6526600,6530000,6530100,6539700,100,700,300,100,100,6514100,6514000,6511100,6510000,6508000,100,1200,800,100,100
20200528,93130000,6524500,6526600,6530000,6530100,6539700,200,600,300,100,100,6514200,6514100,6514000,6511300,6511100,200,300,1100,100,800
20200528,93133000,6524500,6526500,6526600,6530000,6530100,400,100,400,300,100,6511100,6510000,6508000,6506200,6506100,800,100,200,100,100
20200528,93136000,6524400,6524500,6526500,6526600,6530000,100,300,100,400,300,6511300,6511100,6510000,6508000,6506200,100,800,100,200,100
20200528,93139000,6524500,6526500,6526600,6530000,6530100,300,100,400,300,100,6514100,6511100,6510000,6508000,6506200,200,600,100,200,100
20200528,93142000,6524500,6526500,6526600,6530000,6530100,400,100,400,300,100,6511300,6511200,6511100,6510000,6508000,200,300,500,100,200
20200528,93145000,6526600,6530000,6530100,6539700,6539900,300,100,100,100,100,6511600,6511500,6511200,6511100,6510000,100,100,300,500,100
20200528,93148000,6526600,6530000,6530100,6539700,6539900,400,100,100,100,100,6512600,6511600,6511300,6511200,6511100,100,200,100,300,500
20200528,93151000,6526500,6526600,6530000,6530100,6539700,100,400,100,100,100,6511600,6511300,6511200,6511100,6510000,500,100,300,500,300
20200528,93154000,6520000,6526500,6526600,6530000,6530100,1800,100,300,100,100,6514700,6511300,6511200,6511100,6510000,100,100,300,500,300
20200528,93157000,6511800,6520000,6526500,6526600,6530000,500,1800,100,200,100,6508000,6506300,6506200,6506000,6505500,200,100,100,200,1100
20200528,93200000,6511800,6520000,6526500,6526600,6529600,300,1800,100,200,100,6508000,6506300,6506200,6506000,6505500,100,100,100,200,1100
20200528,93203000,6510000,6511800,6512600,6516800,6520000,100,200,100,200,1800,6505500,6503000,6500600,6500300,6500200,1100,100,4900,100,100
20200528,93206000,6516800,6520000,6526500,6526600,6529600,200,1800,100,200,100,6505500,6503000,6500600,6500300,6500200,400,100,4900,100,100
20200528,93209000,6516800,6520000,6526500,6526600,6529600,300,1800,100,200,100,6510000,6506600,6505500,6503000,6500600,100,100,400,100,4900
20200528,93212000,6512600,6516800,6518500,6520000,6526500,100,300,100,1800,100,6510000,6506600,6505600,6505500,6503000,100,100,100,400,100
20200528,93215000,6510000,6512600,6516800,6518500,6520000,200,100,300,100,1800,6505500,6503000,6501000,6500700,6500600,300,100,100,600,4900
20200528,93218000,6510000,6512600,6513700,6516800,6518500,100,100,100,600,100,6503000,6501000,6500700,6500600,6500300,100,100,700,4900,100
20200528,93221000,6501000,6508000,6510000,6512600,6513700,300,100,100,100,100,6500700,6500600,6500300,6500200,6500100,700,4900,100,100,200
20200528,93224000,6510000,6512600,6513700,6516800,6520000,200,100,100,500,1800,6500600,6500300,6500200,6500100,6500000,2800,100,100,100,2400
