nActionDay,nTime,nPrice,nVolume
20200527,93000000,6710800,900
20200527,93000000,6710700,100
20200527,93000020,6710000,100
20200527,93000040,6710000,200
20200527,93000110,6709600,100
20200527,93000110,6710000,200
20200527,93000120,6708800,100
20200527,93000120,6710000,100
20200527,93000130,6710000,100
20200527,93000130,6710000,100
20200527,93000150,6710000,100
20200527,93000150,6710000,200
20200527,93000190,6710000,100
20200527,93000230,6710000,100
20200527,93000290,6710000,100
20200527,93000300,6710000,300
20200527,93000330,6710000,100
20200527,93000480,6708800,100
20200527,93000490,6709700,100
20200527,93000490,6710000,200
20200527,93000510,6710000,100
20200527,93000510,6710000,100
20200527,93000550,6710000,100
20200527,93000550,6710000,100
20200527,93000580,6710000,100
20200527,93000630,6710000,100
20200527,93000640,6705100,100
20200527,93000640,6710000,100
20200527,93000740,6710000,100
20200527,93001040,6706000,100
20200527,93001040,6705100,400
20200527,93001070,6707600,100
20200527,93001410,6707600,100
20200527,93001470,6710000,200
20200527,93001770,6710000,1035
20200527,93001770,6710000,100
20200527,93001770,6710000,365
20200527,93002290,6708800,100
20200527,93002290,6703300,100
20200527,93002290,6703100,100
20200527,93002430,6710000,100
20200527,93002530,6710000,100
20200527,93002920,6710000,100
20200527,93003160,6710000,35
20200527,93003160,6710000,100
20200527,93003160,6710000,100
20200527,93003160,6710000,65
20200527,93003230,6710000,35
20200527,93003230,6710000,65
20200527,93003440,6709800,100
20200527,93003480,6710000,35
20200527,93003480,6710000,65
20200527,93004510,6705100,100
20200527,93004670,6702200,100
20200527,93005160,6702200,100
20200527,93005850,6710000,35
20200527,93005850,6710000,48
20200527,93005850,6710000,100
20200527,93005850,6710100,100
20200527,93005850,6710600,100
20200527,93005850,6710700,117
20200527,93006070,6705200,100
20200527,93006900,6705100,100
20200527,93007590,6702100,100
20200527,93008290,6702200,100
20200527,93008870,6705100,100
20200527,93009040,6702000,100
20200527,93010620,6710000,100
20200527,93012220,6702000,400
20200527,93012340,6702000,100
20200527,93012350,6702000,1400
20200527,93012350,6702000,100
20200527,93020380,6702000,100
20200527,93021530,6701100,200
20200527,93024160,6701100,200
20200527,93024170,6701100,200
20200527,93024170,6701000,100
20200527,93025450,6701100,100
20200527,93025450,6701100,200
20200527,93026010,6701100,100
20200527,93026010,6701100,100
20200527,93026020,6701100,100
20200527,93026690,6700200,100
20200527,93026690,6700000,300
20200527,93026690,6700000,300
20200527,93026690,6700000,100
20200527,93026690,6700000,100
20200527,93026690,6700000,100
20200527,93026690,6700000,100
20200527,93026690,6700000,100
20200527,93026690,6700000,100
20200527,93027650,6696900,100
20200527,93028720,6696900,100
20200527,93029980,6695000,100
20200527,93030380,6691100,100
20200527,93030880,6690200,100
20200527,93030890,6691100,100
20200527,93033060,6690100,400
20200527,93033070,6690100,100
20200527,93033080,6690100,600
20200527,93033080,6690000,100
20200527,93033080,6690000,100
20200527,93033080,6690000,200
20200527,93033080,6690000,1400
20200527,93033080,6690000,100
20200527,93033080,6690000,100
20200527,93033080,6690000,100
20200527,93033080,6688800,100
20200527,93033080,6688600,300
20200527,93033080,6688000,100
20200527,93033080,6686800,100
20200527,93033080,6686600,100
20200527,93036080,6686500,100
20200527,93039960,6681000,100
20200527,93039990,6680900,100
20200527,93040110,6691100,100
20200527,93040390,6680300,100
20200527,93040390,6680200,100
20200527,93040390,6680000,300
20200527,93040730,6686500,100
20200527,93041490,6680700,100
20200527,93041850,6680900,100
20200527,93043500,6687000,100
20200527,93045430,6680100,100
20200527,93046440,6683000,400
20200527,93046810,6683000,100
20200527,93046970,6683000,100
20200527,93047200,6683000,1500
20200527,93047200,6683000,100
20200527,93047220,6686500,100
20200527,93047630,6683000,100
20200527,93047840,6683000,100
20200527,93048120,6683000,100
20200527,93048800,6683000,2500
20200527,93048840,6686900,100
20200527,93051350,6681000,100
20200527,93051410,6691100,100
20200527,93051660,6681000,100
20200527,93051750,6681000,100
20200527,93055720,6680100,100
20200527,93055810,6680000,100
20200527,93055820,6680000,100
20200527,93055900,6680000,100
20200527,93056310,6680000,100
20200527,93057040,6680000,100
20200527,93057100,6681000,100
20200527,93057220,6680000,100
20200527,93057470,6680000,100
20200527,93057700,6680000,200
20200527,93058810,6681000,100
20200527,93100570,6680000,100
20200527,93101050,6681000,100
20200527,93102250,6681000,100
20200527,93102390,6681000,100
20200527,93102560,6680000,100
20200527,93102610,6680000,100
20200527,93102620,6681000,100
20200527,93102620,6680000,100
20200527,93102620,6680000,100
20200527,93102620,6680000,100
20200527,93102620,6680000,100
20200527,93102620,6680000,200
20200527,93102690,6680000,100
20200527,93102730,6680000,100
20200527,93102900,6680000,100
20200527,93102950,6679000,100
20200527,93103200,6679000,100
20200527,93103310,6680000,100
20200527,93103380,6681000,100
20200527,93103380,6681000,100
20200527,93103850,6679000,100
20200527,93103930,6679000,100
20200527,93104080,6681000,100
20200527,93104260,6680000,100
20200527,93104360,6679000,100
20200527,93105370,6678800,100
20200527,93106020,6678800,100
20200527,93106470,6678800,100
20200527,93106490,6675800,100
20200527,93106930,6678800,100
20200527,93107030,6671000,100
20200527,93107720,6671000,100
20200527,93107720,6671000,100
20200527,93107720,6675800,100
20200527,93107720,6675800,100
20200527,93107720,6678800,100
20200527,93107720,6678800,100
20200527,93107720,6678800,100
20200527,93107720,6678800,100
20200527,93107720,6678800,200
20200527,93107940,6677000,100
20200527,93108570,6677000,100
20200527,93108650,6678800,100
20200527,93109670,6670700,100
20200527,93109670,6670700,100
20200527,93109690,6670100,100
20200527,93110770,6670400,100
20200527,93110770,6670000,100
20200527,93110770,6670000,100
20200527,93110770,6670000,400
20200527,93110770,6670000,100
20200527,93110770,6670000,100
20200527,93110960,6670700,100
20200527,93110960,6671000,200
20200527,93110960,6671000,100
20200527,93113010,6670600,100
20200527,93113100,6666700,100
20200527,93113100,6666600,200
20200527,93113180,6666600,300
20200527,93113280,6671000,100
20200527,93114330,6671000,100
20200527,93115160,6671000,200
20200527,93115160,6671000,100
20200527,93115160,6671000,100
20200527,93115160,6671000,100
20200527,93115800,6672000,100
20200527,93115830,6672000,100
20200527,93115840,6672000,200
20200527,93116170,6672000,500
20200527,93116530,6672000,100
20200527,93117400,6672000,200
20200527,93118390,6675700,100
20200527,93118660,6672000,100
20200527,93118720,6672000,400
20200527,93118730,6672000,100
20200527,93118730,6672000,400
20200527,93118760,6672000,200
20200527,93118980,6672000,100
20200527,93119000,6672000,100
20200527,93119000,6672000,100
20200527,93119100,6672000,100
20200527,93119110,6672000,100
20200527,93119110,6672000,100
20200527,93119110,6672000,100
20200527,93119110,6672000,100
20200527,93119110,6672000,100
20200527,93119210,6675800,100
20200527,93121610,6672000,300
20200527,93121640,6672000,900
20200527,93121650,6671700,100
20200527,93121660,6671000,100
20200527,93122500,6671000,200
20200527,93122660,6670000,100
20200527,93123070,6670000,100
20200527,93124060,6671000,100
20200527,93125500,6670000,100
20200527,93125580,6672000,100
20200527,93126020,6672000,300
20200527,93126330,6670000,100
20200527,93126410,6670000,100
20200527,93127010,6670000,100
20200527,93127340,6670000,100
20200527,93127700,6666800,100
20200527,93128170,6670000,100
20200527,93129410,6672000,100
20200527,93129520,6672000,200
20200527,93130890,6672000,200
20200527,93130910,6672000,200
20200527,93131200,6671000,100
20200527,93131340,6672000,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131340,6675800,100
20200527,93131780,6671000,100
20200527,93132020,6671000,100
20200527,93132360,6671000,200
20200527,93133010,6672000,100
20200527,93133010,6672000,100
20200527,93133010,6672000,100
20200527,93133070,6673000,100
20200527,93133640,6675800,100
20200527,93133700,6675800,100
20200527,93133970,6675800,100
20200527,93134630,6673000,100
20200527,93134990,6673000,100
20200527,93135030,6673000,100
20200527,93135070,6673000,100
20200527,93135070,6673000,100
20200527,93135170,6673000,100
20200527,93135540,6678800,100
20200527,93135830,6673000,100
20200527,93135880,6673000,100
20200527,93136310,6678800,100
20200527,93136660,6678800,100
20200527,93137010,6678800,100
20200527,93137520,6673100,100
20200527,93137830,6678800,100
20200527,93137960,6678800,400
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,200
20200527,93137960,6678800,700
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137960,6678800,300
20200527,93137960,6678800,100
20200527,93137960,6678800,100
20200527,93137990,6679000,200
20200527,93139290,6679000,200
20200527,93139290,6679000,200
20200527,93139640,6679000,100
20200527,93139680,6679000,200
20200527,93139680,6679000,100
20200527,93139680,6679700,100
20200527,93139680,6680000,200
20200527,93139700,6680000,1000
20200527,93139700,6680000,200
20200527,93139700,6680000,100
20200527,93139930,6679000,300
20200527,93140380,6679000,100
20200527,93140500,6683000,100
20200527,93140700,6691100,100
20200527,93141440,6679000,100
20200527,93141770,6679100,100
20200527,93141770,6679000,200
20200527,93141770,6679000,200
20200527,93141770,6679000,400
20200527,93141770,6679000,300
20200527,93141930,6676500,100
20200527,93145870,6680300,100
20200527,93148800,6696900,100
20200527,93148800,6680300,100
20200527,93150610,6681300,100
20200527,93150990,6681200,83
20200527,93152840,6696900,100
20200527,93153160,6696900,100
20200527,93153620,6690000,100
20200527,93153950,6696900,100
20200527,93159280,6699900,100
20200527,93159280,6699900,100
20200527,93159920,6697800,100
20200527,93202710,6699900,100
20200527,93202730,6699900,100
20200527,93202760,6699900,100
20200527,93202770,6699900,300
20200527,93202770,6699900,100
20200527,93203670,6696900,100
20200527,93203670,6696900,200
20200527,93203670,6696900,100
20200527,93203670,6696900,200
20200527,93203670,6696900,100
20200527,93203890,6696800,100
20200527,93204000,6696800,100
20200527,93204170,6697800,100
20200527,93204320,6697800,100
20200527,93204660,6685000,100
20200527,93205450,6685000,100
20200527,93205990,6685000,100
20200527,93205990,6685000,100
20200527,93205990,6685000,100
20200527,93205990,6685000,200
20200527,93207970,6685000,200
20200527,93208010,6685000,100
20200527,93208040,6685000,100
20200527,93208870,6685000,100
20200527,93209020,6685000,100
