nActionDay,nTime,nPrice,nVolume
20200525,93000000,6498900,100
20200525,93000000,6499000,100
20200525,93000040,6498800,400
20200525,93000050,6498800,200
20200525,93000110,6490000,100
20200525,93000140,6498700,100
20200525,93000140,6498800,100
20200525,93000140,6499000,200
20200525,93000140,6499000,100
20200525,93000140,6499000,100
20200525,93000190,6499000,400
20200525,93000210,6483000,300
20200525,93000210,6480000,200
20200525,93000210,6470700,100
20200525,93000240,6470000,300
20200525,93000280,6470000,100
20200525,93000310,6470000,100
20200525,93000460,6470000,100
20200525,93000620,6470000,100
20200525,93000620,6460000,100
20200525,93000620,6453600,100
20200525,93000620,6453000,100
20200525,93000670,6470000,800
20200525,93000670,6470000,700
20200525,93000760,6470000,100
20200525,93000890,6470000,600
20200525,93000940,6470000,100
20200525,93000990,6469900,100
20200525,93001010,6469900,100
20200525,93001170,6469900,200
20200525,93001170,6470000,200
20200525,93001180,6470000,1000
20200525,93001190,6470000,100
20200525,93001240,6470000,100
20200525,93001550,6480000,100
20200525,93001700,6480000,100
20200525,93001930,6483000,200
20200525,93002460,6490000,100
20200525,93002540,6490000,100
20200525,93002580,6490000,100
20200525,93002620,6490000,200
20200525,93003000,6480000,100
20200525,93003420,6490000,100
20200525,93006150,6483000,100
20200525,93006390,6483000,100
20200525,93006940,6483000,100
20200525,93006990,6483000,100
20200525,93008330,6483000,100
20200525,93008370,6470200,100
20200525,93009380,6470200,100
20200525,93009720,6483000,200
20200525,93009720,6489900,100
20200525,93009720,6489900,1700
20200525,93010080,6470700,100
20200525,93010390,6490000,100
20200525,93010980,6482900,100
20200525,93014060,6470200,100
20200525,93017080,6470100,100
20200525,93018590,6470100,100
20200525,93019140,6470800,100
20200525,93020500,6470000,100
20200525,93021660,6470000,100
20200525,93024250,6461800,200
20200525,93024250,6460000,100
20200525,93024250,6460000,100
20200525,93027210,6458800,100
20200525,93027660,6458800,100
20200525,93027660,6460000,100
20200525,93029700,6458800,100
20200525,93030180,6460000,100
20200525,93030650,6454000,100
20200525,93030940,6454000,100
20200525,93031780,6453800,100
20200525,93032650,6453900,100
20200525,93032650,6458800,100
20200525,93032650,6459900,100
20200525,93032650,6459900,100
20200525,93032650,6460000,400
20200525,93032650,6460000,100
20200525,93032650,6460000,100
20200525,93033730,6455000,100
20200525,93034320,6460000,100
20200525,93034320,6453100,100
20200525,93034320,6453100,100
20200525,93034320,6453100,100
20200525,93035200,6453100,100
20200525,93036700,6453500,300
20200525,93037010,6453200,100
20200525,93037040,6453100,100
20200525,93037050,6453100,100
20200525,93037060,6451100,100
20200525,93037220,6453500,100
20200525,93039220,6453500,600
20200525,93039690,6454100,100
20200525,93039930,6454100,100
20200525,93040030,6454100,100
20200525,93040930,6453100,100
20200525,93040930,6451100,100
20200525,93043050,6450600,100
20200525,93043050,6450100,100
20200525,93043050,6450000,100
20200525,93043060,6450000,200
20200525,93043060,6450000,200
20200525,93043060,6450000,100
20200525,93043060,6450000,200
20200525,93043060,6450000,100
20200525,93043060,6450000,100
20200525,93043060,6450000,100
20200525,93043060,6450000,100
20200525,93043090,6444400,100
20200525,93044330,6440000,200
20200525,93045760,6440000,100
20200525,93046130,6449700,100
20200525,93046130,6450000,100
20200525,93046130,6450600,100
20200525,93046520,6450600,100
20200525,93046520,6450600,100
20200525,93046520,6450900,200
20200525,93046520,6451000,100
20200525,93046520,6451100,400
20200525,93047640,6440000,100
20200525,93047660,6440000,100
20200525,93050010,6438000,100
20200525,93050050,6438000,100
20200525,93050750,6440000,100
20200525,93050790,6433500,200
20200525,93050790,6433300,300
20200525,93051390,6432800,100
20200525,93052120,6440000,100
20200525,93052440,6433800,100
20200525,93053420,6432600,100
20200525,93054310,6432600,100
20200525,93054330,6432800,100
20200525,93054370,6432600,100
20200525,93055150,6432800,100
20200525,93055610,6432800,100
20200525,93056300,6435000,100
20200525,93057140,6435000,100
20200525,93057940,6433000,100
20200525,93058890,6433000,100
20200525,93058890,6433000,100
20200525,93059000,6434300,100
20200525,93059620,6432800,200
20200525,93100050,6432800,100
20200525,93100640,6432800,100
20200525,93100680,6432600,100
20200525,93100690,6432000,100
20200525,93100690,6431900,100
20200525,93100800,6432800,200
20200525,93100880,6430300,200
20200525,93100880,6430200,100
20200525,93100880,6430200,100
20200525,93100880,6430000,100
20200525,93100880,6430000,300
20200525,93100880,6430000,100
20200525,93100880,6430000,100
20200525,93100920,6430000,100
20200525,93100920,6430000,100
20200525,93100950,6432800,100
20200525,93101140,6429900,200
20200525,93101140,6425400,300
20200525,93101140,6422900,100
20200525,93101140,6422000,100
20200525,93101140,6420000,100
20200525,93101850,6412800,100
20200525,93102100,6412000,100
20200525,93102110,6412000,100
20200525,93102430,6420000,100
20200525,93102540,6412000,100
20200525,93102740,6420000,100
20200525,93102770,6420000,100
20200525,93103160,6410200,100
20200525,93103590,6410200,100
20200525,93103590,6420000,200
20200525,93103630,6420000,1000
20200525,93103700,6410200,100
20200525,93103700,6410200,100
20200525,93103700,6420000,800
20200525,93103860,6410200,100
20200525,93104060,6410000,100
20200525,93104090,6410000,100
20200525,93104240,6410200,100
20200525,93104770,6410200,100
20200525,93104770,6420000,100
20200525,93105020,6410000,100
20200525,93105040,6410000,100
20200525,93105320,6405800,100
20200525,93105320,6405500,100
20200525,93105690,6410000,100
20200525,93105690,6420000,100
20200525,93106110,6401000,100
20200525,93106760,6420000,300
20200525,93106760,6420000,200
20200525,93106800,6401100,100
20200525,93107140,6420000,100
20200525,93107620,6410200,100
20200525,93107670,6410200,200
20200525,93107670,6420000,1200
20200525,93107670,6420000,100
20200525,93107670,6420000,100
20200525,93107690,6420000,400
20200525,93107990,6410200,100
20200525,93108070,6401100,100
20200525,93108120,6401100,100
20200525,93109200,6401200,100
20200525,93109410,6401200,100
20200525,93109620,6420000,300
20200525,93109680,6420000,100
20200525,93110080,6422600,100
20200525,93110820,6422600,100
20200525,93111840,6422600,100
20200525,93111840,6420000,100
20200525,93111870,6420000,100
20200525,93112710,6420100,100
20200525,93113290,6420100,100
20200525,93113350,6420000,100
20200525,93113790,6420200,100
20200525,93114550,6420000,100
20200525,93115080,6420000,100
20200525,93115140,6430500,300
20200525,93117540,6401600,100
20200525,93118420,6430500,100
20200525,93119730,6402000,100
20200525,93119730,6401700,100
20200525,93119730,6401600,100
20200525,93119730,6401500,100
20200525,93119730,6401500,200
20200525,93119730,6401500,100
20200525,93119730,6401500,100
20200525,93119730,6401500,100
20200525,93119730,6401400,100
20200525,93119730,6401300,100
20200525,93119730,6401300,900
20200525,93119730,6401300,100
20200525,93119730,6401200,100
20200525,93119730,6401100,100
20200525,93119730,6401000,100
20200525,93119730,6400500,100
20200525,93119760,6400500,100
20200525,93119760,6400300,100
20200525,93119760,6400300,200
20200525,93119760,6400200,100
20200525,93119760,6400200,100
20200525,93119760,6400100,200
20200525,93119760,6400100,100
20200525,93119760,6400000,100
20200525,93119760,6400000,100
20200525,93119760,6400000,100
20200525,93119760,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93120210,6410000,100
20200525,93121770,6410000,100
20200525,93121840,6410000,100
20200525,93121840,6430500,100
20200525,93122900,6420000,100
20200525,93122980,6430000,100
20200525,93123120,6410300,100
20200525,93123240,6403300,100
20200525,93123240,6403300,100
20200525,93123240,6403200,300
20200525,93123320,6403300,100
20200525,93123970,6410000,300
20200525,93123970,6403300,100
20200525,93124600,6402100,200
20200525,93124600,6402100,100
20200525,93124600,6402000,100
20200525,93124600,6402000,100
20200525,93124600,6402000,100
20200525,93124600,6402000,200
20200525,93124600,6401800,100
20200525,93124600,6401800,100
20200525,93124600,6401800,300
20200525,93124600,6401600,200
20200525,93124600,6401600,100
20200525,93124600,6401500,200
20200525,93124600,6401000,100
20200525,93124600,6401000,100
20200525,93124600,6401000,100
20200525,93124610,6401000,200
20200525,93125400,6430000,100
20200525,93125430,6402000,100
20200525,93126000,6430400,100
20200525,93126500,6430500,100
20200525,93127050,6410000,100
20200525,93128450,6410000,200
20200525,93128530,6410000,100
20200525,93129020,6410000,100
20200525,93130440,6410100,100
20200525,93130440,6410000,300
20200525,93130990,6422700,100
20200525,93131680,6410100,100
20200525,93131700,6410100,100
20200525,93131800,6422700,100
20200525,93134510,6411800,100
20200525,93135060,6411900,100
20200525,93135060,6411800,100
20200525,93136560,6422700,100
20200525,93136620,6411100,100
20200525,93138350,6425100,100
20200525,93139610,6429900,100
20200525,93139950,6422700,100
20200525,93139950,6422700,100
20200525,93139950,6413000,100
20200525,93139950,6412000,300
20200525,93139950,6411100,100
20200525,93140260,6411000,100
20200525,93141370,6411100,100
20200525,93141540,6411100,100
20200525,93142300,6422700,100
20200525,93142300,6422700,100
20200525,93142300,6411200,100
20200525,93142300,6411200,100
20200525,93142300,6411000,400
20200525,93142670,6429900,100
20200525,93142680,6411000,100
20200525,93143990,6411100,100
20200525,93145130,6422700,100
20200525,93145130,6422700,100
20200525,93146070,6422700,300
20200525,93146250,6415000,100
20200525,93146380,6422700,100
20200525,93147110,6425100,100
20200525,93147360,6429900,100
20200525,93147920,6422700,100
20200525,93148400,6413000,100
20200525,93148490,6422700,200
20200525,93149260,6413000,100
20200525,93149560,6412800,300
